Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Kenya,KEN,34469342380.6657,52606885610.1143,78020981275.2744,85544323185.2917,87743730580.2227,91304122333.0242,99935370156.3998,108651439755.1,115282557368.928,123320824982.294,131823515393.458,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Kiribati,KIR,113400256.719052,191709661.70627,216168841.678262,230951025.066218,243070160.677217,233240474.973395,233172642.244985,231900001.648926,272087756.035272,313675756.174969,268315014.551017,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,"Korea, Dem. Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,"Korea, Rep.",KOR,368451133875.57,844327530122.606,1246381640757.01,1350407263826.92,1405611884714.55,1393108114185.38,1506812353642.37,1568631167033.9,1617664935306.88,1673578929674.52,1745784553870.79,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Kosovo,KSV,..,..,11514630337.7318,12775664754.3316,13237172666.4006,13425836711.5723,14040949143.9432,15082036810.5816,15881450701.1551,16547754573.7852,17150775053.1216,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Kuwait,KWT,..,133836289761.246,232644175557.099,253181550181.575,256134630409.585,243328607435.407,238931627820.32,261595763216.259,282382072492.44,295422282653.795,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Kyrgyz Republic,KGZ,9861710981.11852,7572329894.95525,11381188800.7981,12725465301.4854,13686607845.8429,14211370981.7217,13945454293.5375,14393401502.2784,15960706555.3022,17709257931.3354,18786654533.1544,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Lao PDR,LAO,4450766920.28338,9531644578.52391,15982296926.4663,18032121989.6367,19578219727.1448,21621481509.4259,22849963347.3144,25024628678.3128,27712527779.2687,30785511919.6486,33819929433.8294,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Latvia,LVA,..,24039306181.3451,36179495122.0945,40382945784.8345,42419127737.3237,38747606130.3988,37068145427.4494,39964594950.5548,42828959924.3892,45207479035.9431,46077450841.7999,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Lebanon,LBN,16474662098.5969,32220903164.3869,45954428333.7551,52725440808.4977,57798325248.7045,62865911121.2374,68244834710.8294,72220271572.0014,74983715949.3204,76146738958.3016,78143450383.4719,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Lesotho,LSO,2232703542.48799,3152442177.32103,4370961067.58012,4546266505.57591,4814569815.95293,4961739036.66385,5215746046.03002,5782662759.56996,5991658885.01982,7064466045.44043,6841207525.70807,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Liberia,LBR,..,1863196407.9759,1446869952.36266,1720472180.3152,1929228239.5153,2204604620.26409,2330843144.3526,2747378536.71073,2994214789.14604,3063457349.01054,3088978704.67647,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Libya,LBY,..,..,149915026494.542,162984712941.737,169900709834.184,170012226211.222,179025379539.484,69433530943.1827,140896698561.384,125574400506.727,101225457150.031,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Lithuania,LTU,..,..,53294478641.9232,59089026466.1113,63403432443.7271,59338711027.8054,60561129646.3316,64723441441.1432,68983295116.9644,73535993558.6114,74385261834.8282,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Luxembourg,LUX,9877150639.51259,18278527097.9486,26476493947.1764,31559972222.1621,32856007856.7251,26134917782.2713,27892937644.5371,31106301439.6966,31566316558.1018,31420110198.8561,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,"Macao SAR, China",MAC,9384610580.75033,13940340457.9553,28394085901.8165,37038936116.2117,35040233074.1794,36537710595.066,46262129299.2024,55082817870.838,60585135182.6939,67091344822.222,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,"Macedonia, FYR",MKD,10489483508.0606,12331200984.8487,18680149997.3017,18916078601.9665,21910763202.287,23118821303.6586,23733908761.6118,23620345303.6673,24090935873.3101,25166438328.6108,26560851829.3586,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Madagascar,MDG,11895644470.2834,17718226414.7928,24189272857.0904,26579339058.8406,29101125804.3113,27993128623.4601,28431633451.7807,29216282879.5431,30277185198.9391,31393924915.3964,32983869691.7379,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Malawi,MWI,3223217244.752,5556706446.78732,7283385472.95634,8239866761.51258,9106757531.46619,9939921225.42202,10627642701.619,11313569160.7616,11596228866.2529,12257098185.9476,13166099062.5935,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Malaysia,MYS,114493839666.545,267723387661.694,435971327838.952,479664619039.262,508043175996.336,509338388461.097,546448844085.929,591756809645.037,627480303850.345,669535493054.425,720019382463.033,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Maldives,MDV,..,..,2744821010.95394,2766958974.00717,3130276512.40328,3001484156.36349,3228017765.73967,3685786980.93125,3873394894.12881,4109106179.09663,4487927162.04346,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Mali,MLI,5626304854.49642,10192911744.9184,16902046744.3656,18101978623.6531,19498106118.5132,20198364909.0749,21783185809.1176,22886002345.225,22983278577.3861,24141446978.7583,26214082595.5831,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Malta,MLT,4165103307.72859,7083084609.77389,8703496850.08982,9222545792.53811,10292816953.3502,10074575940.7301,10801389820.0965,11137916685.2815,11076335875.03,11441515078.2241,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Marshall Islands,MHL,..,161062245.15213,204416997.114539,217391278.726689,215177449.419857,212367253.587174,218299618.214033,224555066.96849,227761540.915117,243595643.593549,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Mauritania,MRT,3451123791.84821,5939180655.72946,9894931743.90105,10817717077.7023,10979383874.3478,10797988861.6531,11446808849.3267,12053205706.562,12881335021.7781,13827551698.2084,14730488409.1183,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Mauritius,MUS,5134280892.22486,10606623714.7755,14989479595.7895,16607367667.1887,17598956851.4328,18050597051.1603,19340518125.1267,20315578544.7915,21356233990.5752,22321464946.3739,23067743698.9883,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Mexico,MEX,498385376946.139,1037531399454.44,1434705558814.14,1516751642999.78,1611371967480.69,1600120310319.55,1724716196080.91,1862218909312.42,1928776228053.69,1945325129047.89,2068291947220.55,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,"Micronesia, Fed. Sts.",FSM,..,277001740.817307,332311131.208014,336231426.162564,329937481.289229,346280762.816585,351424102.896184,365828851.984681,379777723.640657,381515494.048137,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Moldova,MDA,15383471060.3833,6830189306.4732,12825769085.3625,13272648354.9931,14649790131.3933,13348366825.342,14841454864.0944,16075850585.7766,16777796885.1418,18506193784.7074,19495100035.133,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Mongolia,MNG,7108269323.06803,8805377170.04386,15030598405.1167,16830445996.7523,18539148151.8565,18216296940.7211,18782638226.0498,22539438675.11,25876794275.0477,29974625839.1584,32361978999.1591,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Montenegro,MNE,..,4203444302.92583,6584834093.45941,7778508170.0932,8715630501.6979,8134034809.86356,8204691047.28155,8802739126.61157,8577438104.39722,8954135905.87859,9024545668.37596,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Morocco,MAR,60876622546.3836,99212177416.9382,159754156455.674,168649671278.051,180916049626.302,189078808651.079,198177595954.563,211481433290.188,220479804626.833,234996248093.497,244655783152.558,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Mozambique,MOZ,3814467713.77409,7983399442.99685,14466010416.7752,16461396552.857,17762557621.2616,19706410934.1973,21213296662.2026,23673024940.121,26087909977.1493,28626795424.1044,30917443332.2819,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Namibia,NAM,5300050698.86918,9271387138.12312,14405124365.9512,15575346176.7309,16292608914.6817,16468215780.0939,17311886134.3131,18804590047.2892,19860835683.1189,21923753749.1106,23197447772.2168,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Nepal,NPL,14567868776.4258,29079468293.365,41278674367.3151,43937534493.0146,47512232637.7771,50149505719.0364,52983710719.1588,55810345453.6615,59718642759.7993,62880562107.7807,68099105697.7978,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Netherlands,NLD,280431191458.063,512653928669.908,670426765665.574,714375188069.896,738314528307.263,729246000618.032,748121761200.566,774871487278.806,781136216089.911,777392974839.117,803215820693.634,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,New Zealand,NZL,47312875382.557,78474254432.0979,108002600718.903,114444744692.237,116696149281.986,125801778729.143,128220612859.621,135022528206.526,139280277396.182,149956756535.892,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Nicaragua,NIC,7915889429.70343,13298399483.7896,18743245749.3796,20439936138.8648,21520347319.9573,20999101530.5266,21999375602.1652,23892668027.9242,25445884079.9126,27040840689.2302,28807856882.7935,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Niger,NER,4524328677.71263,6715751118.65962,10092167415.8909,10682109453.6038,11895091656.8356,11865376713.1505,12998405210.9384,13578733071.1402,15266109164.6128,16128395594.6893,17642534348.4285,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Nigeria,NGA,169701535482.175,239603046619.024,554245310083.796,583199166691.685,630799510540.898,670068830671.646,757524988506.785,808825539152.048,865502868925.673,930216032482.619,1013733505738.85,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Norway,NOR,75216765943.5528,163074574934.807,255229991605.856,266947251540.343,296337281271.945,272807537063.811,290422479677.137,313663645749.072,335789564367.087,337886412027.89,338848178747.201,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Oman,OMN,39965217838.2648,75972582992.4313,89886704628.2625,95619908960.1636,103009090308.648,104697167871.773,115694109589.06,113214713066.728,123805623573.374,131633969280.31,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Pakistan,PAK,221778803250.789,378922804284.23,612899640090.499,658852174096.093,684938404215.337,714272623978.792,743097867916.14,784383239309.486,831835034770.215,881423911692.156,944873862758.324,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Palau,PLW,..,185236337.132488,251696649.992278,258452778.320705,249281114.54106,228827513.64263,236262350.643009,257462645.041272,274501642.403457,273698166.077468,301233536.039313,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Panama,PAN,11402241355.3145,22830042654.4092,40145650452.7629,45886639379.7604,50624660773.5758,52898444177.176,56412672006.6269,57194597787.5475,63226931300.0366,74566766214.6003,77078319573.474,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Papua New Guinea,PNG,4152387274.24063,7420495137.04484,9312838274.64946,11345841035.2442,12362050729.8544,12946923662.0698,13855111606.0027,15308310671.6461,17633439506.2759,18380301933.2731,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Paraguay,PRY,..,22108561892.0594,29882318267.9565,34259648418.634,37602229696.8901,35823723309.45,41227368585.7482,44827334356.3514,44278756049.6886,51840625575.0575,55380571021.7392,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Peru,PER,74295840342.8481,129947725740.332,187587939335.058,209987219421.41,236051116336.391,241043797838.661,262827917283.708,284677156245.627,311681408940.368,338814505106.069,354275406411.975,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Philippines,PHL,157866871249.766,306061963549.721,500588129056.129,545998992997.846,586101248971.087,626122106394.925,684792863850.436,651365770270.708,706644682767.756,771303790893.457,830633793978.268,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Poland,POL,..,409308889586.881,567048910374.838,625895548788.825,676520999078.917,707417214777.898,760746489806.884,822572719910.701,852165087772.207,881184199980.457,915206354571.204,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Portugal,PRT,111757011249.553,180197729570.351,243361307948.046,257459268577.318,264798855222.278,266925552646.291,274801361908.951,278451874065.872,277024154133.278,284823901624.7,291228977919.688,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Puerto Rico,PRI,40817520445.2581,65860709499.9315,86410677866.0534,87636233537.2359,86741956445.2656,84115195227.9378,82100204912.9786,82384688997.3745,84617184022.2146,86170021449.746,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Qatar,QAT,..,..,107174244466.549,129911568649.633,154953654288.581,167821017590.276,196707979554.256,235579940128.228,256462212152.306,278374584829.722,303566177734.487,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Romania,ROM,120043997010.084,127125699448.059,232549423459.587,265952488984.28,313782159696.587,311193078764.986,323990173916.727,343934097977.12,355440060510.529,367503323546.256,378908378752.603,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Russian Federation,RUS,1185857149370.79,974629814501.504,2071668737745.2,2324768519534.74,2797648496317.88,2677912353308.86,2837389538585.88,3124027149142.16,3328554395930.5,3454711327663.69,3609665924734.02,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Rwanda,RWA,3971410280.26625,5037910634.38108,9115549967.44545,10117858442.7787,11436189516.1281,12252974799.3619,13299240659.741,14615475581.1703,16120407183.3756,17043574282.855,18501238418.4739,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Samoa,WSM,..,598741053.99216,837553934.511587,912834626.777411,943520669.895145,915686716.148973,953581613.231661,1025572019.87566,1037244913.26026,1037454106.29745,1074721761.07191,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Sao Tome and Principe,STP,..,..,379342415.980765,400545861.464432,431893076.395813,452201999.872621,478188338.881146,512252026.393048,538672123.729921,568755723.565645,600308674.557681,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Saudi Arabia,SAU,399281247999.813,600792681202.609,951383627119.608,1027988585495.71,1139009992542.48,1171450950244.36,1234061508221.37,1386472620881.81,1488100435739.84,1549822023717.92,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Senegal,SEN,8705824548.10936,14689354173.0679,22106103031.2672,23837380415.3273,25325742251.0727,25863756282.5117,27397182413.5173,28504376727.6463,29979648147.1511,31500676674.4507,33375286660.2215,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Serbia,SRB,..,43425393932.0391,72352201278.9307,75592983369.0682,85010215779.6358,85011348082.097,84132027256.9304,88882125011.4476,89004800312.868,89431073304.1691,86589603383.8909,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Seychelles,SYC,615881134.547368,1125611658.74497,1496994224.58373,1562885380.51462,1533174784.92914,1560558098.94924,1690864140.60386,1835479712.39388,2008841990.38632,2168540419.12975,2254081462.70239,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Sierra Leone,SLE,3110311721.11199,3198699498.78591,5630144792.53498,6684849698.96092,7381574747.6179,7732276828.51686,7676084162.64968,8511311868.76394,8740665175.55139,10756249794.6301,11370304291.9773,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Singapore,SGP,66904485411.9561,163929771312.719,254525013586.858,286279017015.598,292952706902.776,293016461443.831,356366862062.086,379651070576.226,397064266478.356,420252646100.477,439044184653.275,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Slovak Republic,SVK,..,59821739552.4646,98328890138.6313,111891314387.081,125514778769.037,124062339207.143,128644651166.437,132697251811.521,136227159580.453,140590288673.497,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Slovenia,SVN,..,35635834724.1796,51542958364.4065,54850889766.8077,58380980756.5891,55355945774.8315,55918058727.6965,57996836642.9071,58088106213.793,59009801002.9622,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Solomon Islands,SLB,247626090.891675,566105819.538256,744554130.546479,755371811.148562,749992305.677082,617001170.233483,681635620.179868,806095347.270037,1028618467.94788,1174295626.06839,1157331318.28303,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,South Africa,ZAF,226802692890.801,338148170974.477,501130326687.532,534466308341.686,563176959356.59,563794317922.821,588671452746.652,617439788575.538,641479819136.23,666003999955.287,685676871425.931,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,South Sudan,SSD,..,..,..,..,23316295029.592,25379285971.6136,26240107602.4378,23408521057.8534,19111455274.0427,20960015173.2334,23830715920.7658,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Spain,ESP,528518790493.953,877501260681.722,1347112428932.84,1447865486599.32,1508411687350.46,1493137921021.25,1485660676672.76,1501407026181.63,1519866707920.97,1532120506305.29,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Sri Lanka,LKA,36457281257.7895,73446371856.4807,111853804267.608,122988949817.612,131130152449.786,138521886442.864,151313497006.252,167416272989.66,179501197121.054,194259582872.104,211946858321.764,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,St. Kitts and Nevis,KNA,365185907.881362,639577344.630067,954690189.710604,1013817320.03137,1074987587.79912,1021060392.75661,1006141897.3229,1045878176.05961,1060630227.51016,1120995849.03103,1204562375.96291,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,St. Lucia,LCA,662434732.400388,1170583764.53975,1584727315.09784,1603742972.47887,1688788214.78836,1754542879.87918,1769536865.73319,1859481054.39342,1840478921.91912,1875223702.41926,1879122665.63659,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,St. Vincent and the Grenadines,VCT,375885641.105818,616123386.750154,961101558.225508,1029860344.9779,1066573242.10579,1066875410.5255,1044904026.59777,1060167398.69542,1106934477.54387,1150091089.03546,1160828524.87509,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Sudan,SDN,26849928167.8763,57976349837.3547,100357089582.561,113903337241.388,125437531643.175,129475486402.829,135153486129.399,140669381831.542,140374818243.443,146709822267.069,154396451897.199,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Suriname,SUR,2731537742.66272,3658749828.98017,5775871195.65208,6278148882.6585,6682712471.07405,6924952560.52199,7303630855.88215,7772374040.08223,8204402092.93014,8606217737.04882,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Swaziland,SWZ,2844236134.04227,4531573697.64537,5911759863.30867,6336215361.96935,6514780312.36768,6497841606.99588,6413105231.17538,6610714195.19781,6812733018.31905,6950862212.28433,7531942871.3571,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Sweden,SWE,170208952394.098,260737862002.059,349460822840.689,384276090061.999,401798366315.237,378339309928.948,402104007974.103,424807690765.463,430609494146.526,444141868193.879,452579680827.504,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Switzerland,CHE,183856845516.785,264442441368.137,349390121408.642,360661803289.339,360950406285.676,394509812959.494,425888461413.601,435984209920.107,455975441605.803,482109875578.355,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Tajikistan,TJK,12446694849.0627,5569314871.03448,11076715456.4667,12420217390.1398,13843853800.8906,14419672118.0068,15550200014.5653,17182065997.6719,18788713540.6868,20497942689.1742,22088967272.0417,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Tanzania,TZA,22528549688.8753,38721740586.0392,66289220834.958,71881868044.5022,76961900694.6909,81442387889.944,88262863995.0955,96878093945.1972,103916280081.755,113647803362.205,124544986428.684,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Thailand,THA,229987503528.128,434818045546.828,661448718999.649,716189705455.446,749053302237.418,734595981514.279,798260396722.661,821608980606.903,886847123025.419,899724894313.266,937629871572.999,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Timor-Leste,TMP,..,1433654784.61104,3034089573.62896,4351366870.19738,6915807793.72129,5240997705.65899,6550524807.01426,9141459440.57906,8809970320.9381,9339185620.62559,6885627561.22859,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Togo,TGO,3242750360.21991,4918236424.04424,6296402374.48365,6646774741.5794,6193682799.53457,6481929471.05846,6700440765.85118,7015712096.28553,7558935079.02328,8075758037.56278,9152511527.49695,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Tonga,TON,225393376.239732,362159442.565193,466996461.39939,460440103.930798,479707505.922838,488115799.86739,509815680.774053,536465051.51952,553470047.182305,546150839.981968,560727403.849875,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Trinidad and Tobago,TTO,9805183070.73955,16437527032.781,32694752090.3714,35384502685.8121,37330124625.7317,35609287418.955,36151746046.7367,33314085430.5437,34097313812.1734,35159111504.001,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Tunisia,TUN,28035385837.7815,54017576825.7242,80775557704.2637,87365506963.4386,92863952949.671,98001889540.4558,102119308562.605,103736200130.917,111074868961.864,115450793469.959,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Turkey,TUR,235969291819.292,579834839168.459,884283419199.046,965005222826.156,1055769375884.77,1030193826357.82,1156631086758.69,1295210849955.89,1336067694555.08,1394068957080.04,1443937078354.52,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Turkmenistan,TKM,..,17925784067.5286,30531992134.9003,34828292459.4595,39682956727.2453,42046976618.2573,45318440586.2401,51349130637.6253,57148900976.6974,68159169627.6161,77068710549.6076,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Tuvalu,TUV,..,..,44960263.4793171,52963641.2439627,53191973.5374873,55089541.730199,49635254.2826504,50436773.521359,50898943.3680143,51960322.7783263,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Uganda,UGA,8533995584.54862,19692824190.8315,34666512461.9303,38809493043.5289,43063057753.0534,46585222942.8757,49566534701.2154,55516307666.6029,58905402176.3181,61232590531.1761,65663196494.1496,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Ukraine,UKR,359841264952.791,181816258468.191,331595837570.295,367742347616.682,386024166271.199,327292987404.605,347350660525.186,369725097072.639,379578140168.806,381004812471.469,366152277292.76,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,United Arab Emirates,ARE,..,..,437067801504.304,468445624762.235,482859650730.619,461315778810.506,468325471158.02,501665650335.791,534837148263.6,570856324347.739,602158526602.319,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,United Kingdom,GBR,973163805905.254,1619352057815.8,2264316174838.78,2316682937411.87,2337354784487.2,2263614325572.89,2279409956264.66,2338849790756.71,2373927317246.51,2429852049617.42,2475105345805.37,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,United States,USA,5922900000000,10421300000000,14140800000000,14585700000000,14791200000000,14494500000000,15121100000000,15802900000000,16599700000000,17204300000000,17812700000000,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Uruguay,URY,19061478387.1822,33794665127.3409,40306698516.0523,44093980045.0283,47804247878.7561,50059719907.393,54370631653.6094,58575065232.051,61874855140.6184,65847205799.7332,69137798004.0016,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Uzbekistan,UZB,..,47519944759.4757,77399153798.5036,91419789821.6354,103943202130.479,109556789607.688,120570738742.977,134541539995.301,148955218046.567,165160602283.823,179385715642.128,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Vanuatu,VUT,248095328.856849,394354692.297251,518886914.83853,556451744.797972,632489086.766105,638269419.450548,661471835.54788,681566898.325174,697699286.764693,724672673.522308,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,"Venezuela, RB",VEN,182456301570.416,276445123983.492,401416367138.305,456006185300.812,484581423560.15,466838155244.321,463020304627.239,489063712529.961,523784608748.514,535745755863.518,528765705377.315,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Vietnam,VNM,59973915171.9974,160879337662.06,275842473563.583,301340645889.432,324076315881.322,339438247381.349,367547684057.342,396482343535.126,426102009764.44,454975605967.992,485178968010.165,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,West Bank and Gaza,WBG,..,10882723037.3155,14235758847.5838,14544341933.0064,13552256932.2602,16103796323.7668,16588334859.137,18342503773.9021,21462475720.7528,21178903677.3288,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,"Yemen, Rep.",YEM,26057312279.7232,51318400986.8977,76605344704.9658,82566980412.8668,86678748797.1527,93021849810.4611,95519649905.3229,81348993466.7166,88051289331.5731,93320014244.9013,..,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Zambia,ZMB,11161945723.295,16864022624.4779,27029111985.3291,29461280111.043,33530623458.4798,38932514948.3694,41681445024.6463,46139498620.0499,51989633484.9375,54615995980.0416,57937500838.433,..
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Zimbabwe,ZWE,16588206954.1577,23632909797.0836,17930724461.2714,17527540245.9903,14209894749.2119,17819445088.4038,18628821430.4997,19921999018.6221,22566348529.546,23966180131.678,24917374294.0132,..
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Afghanistan,AFG,..,..,1100,1250,1290,1530,1640,1720,1940,1950,1960,..
